ID,Carimbo de data/hora,Você é:,Idade:,Gênero,(Apenas para estudantes do IMPA Tech) Qual é a sua ênfase? ,Pergunta1,Pergunta2,Pergunta3,Pergunta4,Pergunta5,Pergunta6,Pergunta7,Pergunta8,Pergunta9,Pergunta10,Pergunta11,Pergunta12,Pergunta13,Pergunta14,Pergunta15,Pergunta16,Pergunta17,Bacon,Popper,Kuhn,Feyerabend,Autor_Predominante,Segundo_Predominante
11,18/06/2026 09:19:24,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Feminino,Física,-1,1,2,2,1,2,1,1,1,1,-1,2,-1,-2,1,2,Falseabilidade,0.3,1.4,0.4,0.2,Popper,Kuhn
12,18/06/2026 10:22:33,Funcionário / Técnico-administrativo,18 - 24 anos,Feminino,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1.0,1.0,1.0,1.0,Bacon,Popper
13,18/06/2026 10:29:56,Funcionário / Técnico-administrativo,35 - 44 anos,Feminino,,1,2,-1,1,1,-1,-1,1,2,1,1,1,-1,-1,1,1,Quando afirmações podem ser testadas e confrontadas. ,0.3,0.8,0.0,0.5,Popper,Feyerabend
14,18/06/2026 10:34:55,Funcionário / Técnico-administrativo,35 - 44 anos,Feminino,,1,1,2,1,1,-1,1,1,1,1,1,1,1,1,-1,1,,1.0,1.0,0.8,1.0,Bacon,Popper
15,18/06/2026 11:55:57,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Feminino,Ainda no ciclo básico,1,1,2,2,1,2,2,1,2,-1,0,2,1,0,0,0,"Para que uma teoria seja científica, deve se basear em evidências sólidas, experimentação controlada e replicavel em quaisquer condições diferentes (a não ser que o contrário seja estabelecido na teoria) e não deve, de forma alguma, se basear em dogmas ou regras não comprováveis",1.3,1.2,1.2,0.5,Bacon,Popper
16,17/06/2026 12:55:52,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Masculino,Ciência de Dados,1,1,2,0,2,-1,-1,2,0,1,1,2,1,0,0,2,,0.7,0.6,0.4,1.5,Feyerabend,Bacon
17,17/06/2026 13:18:16,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Masculino,Matemática,2,2,2,2,1,-1,1,2,1,-1,1,2,2,-1,1,2,,1.3,1.2,0.4,1.8,Feyerabend,Bacon
18,17/06/2026 13:57:10,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Masculino,Ciência de Dados,2,1,1,0,1,-1,-2,0,2,1,-1,1,-2,1,0,1,,0.3,0.2,0.4,-0.5,Kuhn,Bacon
19,17/06/2026 18:35:54,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Masculino,Ainda no ciclo básico,1,2,2,2,1,1,1,-1,1,-1,2,2,0,2,0,2,,1.0,1.2,1.6,0.8,Kuhn,Popper
20,17/06/2026 18:36:28,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Masculino,Ainda no ciclo básico,2,2,2,1,2,1,-1,1,2,-1,2,2,2,1,0,2,,1.0,0.6,1.6,1.8,Feyerabend,Kuhn
21,17/06/2026 18:36:42,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Masculino,Ainda no ciclo básico,1,2,1,1,1,1,1,2,2,2,1,2,2,-1,0,1,Formalidade,1.0,1.6,0.8,1.5,Popper,Feyerabend
22,17/06/2026 18:39:00,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Masculino,Ainda no ciclo básico,-1,0,1,1,1,1,1,0,2,1,2,2,1,-1,1,2,,0.3,1.0,1.0,1.2,Feyerabend,Popper
23,17/06/2026 18:45:12,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Masculino,Ciência da Computação,1,2,2,0,2,0,-1,-1,2,1,2,2,1,1,0,1,Ser baseado em fatos e apresentar resultados semelhantes e concretos a partir de uma metodologia específica.,0.7,0.8,1.4,0.8,Kuhn,Popper
24,17/06/2026 18:56:23,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Masculino,Ainda no ciclo básico,1,2,1,0,1,0,1,-1,2,1,1,1,-1,-1,0,1,,1.0,1.0,0.6,0.0,Bacon,Popper
25,17/06/2026 19:19:31,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Masculino,Ciência da Computação,0,2,1,2,2,0,-1,0,2,2,1,2,2,0,2,2,,0.3,1.4,0.8,1.2,Popper,Feyerabend
26,17/06/2026 19:24:39,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Masculino,Ainda no ciclo básico,1,1,2,-1,1,-1,-2,-2,2,-1,1,2,2,-2,1,-1,,0.0,-0.2,0.4,0.0,Kuhn,Bacon
27,17/06/2026 19:27:21,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Masculino,Ciência da Computação,-1,1,2,2,1,1,2,1,2,1,-1,2,2,0,-1,1,,0.7,1.6,0.8,0.8,Popper,Kuhn
28,17/06/2026 19:48:45,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Masculino,Matemática,-2,-2,-2,1,1,-1,0,1,0,2,1,2,1,0,0,2,,-0.3,0.6,-0.4,1.2,Feyerabend,Popper
29,17/06/2026 21:29:31,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Masculino,Ciência de Dados,1,2,1,1,1,1,1,2,1,2,1,1,1,-1,1,-1,,1.0,1.4,0.6,0.8,Popper,Bacon
30,18/06/2026 06:34:33,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Masculino,Ainda no ciclo básico,2,1,2,2,2,-1,1,1,2,2,1,2,-1,-1,1,2,A possibilidade de ser testado por pessoas diferentes para averiguar se os mesmos resultados são atingidos.,1.7,1.6,0.6,0.8,Bacon,Popper
31,18/06/2026 08:10:18,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Masculino,Ainda no ciclo básico,2,2,1,1,2,-1,0,-1,2,2,2,2,2,-2,0,-1,Conhecimento construído com base no método científico.,1.3,1.4,0.4,0.5,Popper,Bacon
32,18/06/2026 08:41:57,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Masculino,Matemática,1,2,1,1,0,-2,1,-1,2,1,2,1,2,-1,0,2,"O fazer científico me parece um conjunto contínuo de acontecimentos. Uma teoria pode ser dita científica se resolve os problemas na qual ela se propõe responder, faz novas previsões e pode ser adaptado mediante anomalias. Essa adaptação não seria dada na ""parte mais importante da teoria""; mas no conjunto de hipóteses alteráveis presentes na teoria.",0.7,1.2,0.4,1.2,Popper,Feyerabend
33,18/06/2026 09:31:56,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Masculino,Ainda no ciclo básico,2,2,-2,2,2,2,1,1,2,2,2,2,2,0,2,2,"Seu rigor científico, em específico, no que diz respeito a forma com a qual a sua experimentação é feita, isto é, se ela é adequada (de forma rigorosa ou não) para a hipótese a ser testada e se trata de testar todos as condições possíveis com as quais o fenômeno estudado está sendo avaliado.",1.7,1.8,0.8,1.8,Popper,Feyerabend
34,18/06/2026 09:58:02,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Masculino,Ciência de Dados,1,2,1,0,1,1,0,-2,1,1,-1,1,-2,-1,-1,1,,0.7,0.8,0.2,-1.0,Popper,Bacon
35,18/06/2026 10:40:01,Funcionário / Técnico-administrativo,25 - 34 anos,Masculino,,1,2,-1,0,1,0,0,1,1,0,2,2,1,-2,0,2,,0.7,0.8,0.0,1.5,Feyerabend,Popper
36,18/06/2026 10:40:19,Funcionário / Técnico-administrativo,25 - 34 anos,Masculino,,1,1,1,1,1,0,1,2,1,1,0,2,1,-1,0,2,Quando o objetivo se torna adquirir conhecimento sobre algo.,1.0,1.2,0.2,1.2,Popper,Feyerabend
37,18/06/2026 10:51:49,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Masculino,Ciência da Computação,1,2,2,2,1,1,1,-1,1,-1,2,1,-1,-2,2,-1,,1.0,1.0,0.8,-0.2,Bacon,Popper
38,18/06/2026 10:59:16,Professor,18 - 24 anos,Masculino,,1,2,2,2,1,-2,-1,-1,2,2,0,2,0,-1,1,-1,,0.3,1.4,0.2,-0.5,Popper,Bacon
39,18/06/2026 11:02:50,Professor,18 - 24 anos,Masculino,,-1,2,1,2,2,0,1,0,2,2,2,2,1,0,1,1,,0.7,1.8,1.0,1.0,Popper,Kuhn
40,18/06/2026 11:23:55,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Masculino,Física,1,1,2,-1,1,1,2,1,1,1,1,2,0,2,1,2,,1.3,1.0,1.4,1.0,Kuhn,Bacon
41,18/06/2026 11:29:02,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Masculino,Matemática,-2,2,2,2,-2,-2,2,2,2,2,-2,-2,2,-2,2,2,"Gerar avanços praticos e aplicações, além de possuir a possibilidade de ser corrrgida ou generalizada",-0.7,1.2,-0.4,1.0,Popper,Feyerabend
42,19/06/2026 10:43:35,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Feminino,,2,1,2,-1,0,1,1,1,0,1,0,1,2,-1,-1,2,,1.0,0.6,0.4,1.2,Feyerabend,Bacon
43,19/06/2026 11:23:17,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Masculino,Ainda no ciclo básico,1,1,0,2,2,1,1,1,2,1,0,2,1,-1,2,2,,1.3,1.4,0.4,1.0,Popper,Bacon
44,19/06/2026 11:24:19,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Masculino,Ainda no ciclo básico,2,2,-2,2,2,2,1,2,2,2,2,2,2,2,-1,2,"A possibilidade de ser algo estudado, compreendido ou não e passa por processo lógico ",1.7,1.8,1.2,2.0,Feyerabend,Popper
45,19/06/2026 11:25:59,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Feminino,Ciência da Computação,2,1,2,1,1,1,1,-1,-2,-1,1,1,-1,-1,-1,1,,1.3,0.6,0.2,0.0,Bacon,Popper
46,19/06/2026 11:54:29,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Masculino,Matemática,1,2,2,2,2,2,-1,-1,1,-1,1,2,1,-1,1,2,"Algo é científico se responde uma pergunta em aberto ou até produz uma nova pergunta com uma resposta razoável. Basicamente, algo é científico se produz conhecimento. Mas é preciso atender alguns critérios, como: a resposta precisa ter uma sequência lógica, ser impessoal (não depender da opinião do cientista) e estar de acordo com o conhecimento conhecido daquela área, caso contrário, deve refutá-lo.",0.7,0.8,1.0,0.8,Kuhn,Popper
47,19/06/2026 12:23:49,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Masculino,Física,2,2,1,1,2,0,1,-1,2,2,0,2,1,-1,0,1,,1.7,1.6,0.4,0.2,Bacon,Popper
48,19/06/2026 12:50:02,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Masculino,Matemática,2,2,1,-2,1,1,2,-2,1,2,-1,2,1,-1,2,-1,,1.7,1.2,0.2,-0.8,Bacon,Popper
49,19/06/2026 13:06:48,Estudante do IMPA Tech ou UFRJ,Até 17 anos,Masculino,Ainda no ciclo básico,1,2,1,1,1,-1,-1,-1,2,2,2,2,1,-2,1,1,,0.3,1.2,0.4,0.8,Popper,Feyerabend
50,19/06/2026 13:09:07,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Masculino,Ainda no ciclo básico,2,2,1,2,1,-1,0,2,1,1,2,2,1,0,1,2,,1.0,1.4,0.6,1.8,Feyerabend,Popper
51,19/06/2026 13:25:29,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Masculino,Matemática,1,2,1,1,1,1,2,-1,1,0,1,2,2,0,1,1,,1.3,1.4,0.8,0.8,Popper,Bacon
52,19/06/2026 13:30:05,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Masculino,Matemática,1,1,2,2,2,2,1,1,-1,2,2,2,0,-1,-1,1,"Deve, primeiramente, ter sucesso nas previsões ou em ser útil.",1.3,1.6,0.8,1.0,Popper,Bacon
53,19/06/2026 14:32:56,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Masculino,Matemática,0,-2,2,2,2,2,0,2,0,2,0,2,2,-2,0,0,"Consenso, especialmente na academia. O status de um objeto A como científico é uma percepção societária, não necessariamente binária. É um tipo de capital de autoridade dotado de propósitos e privilégios particulares, os quais permitem acesso a ambientes e oportunidades específicos dentro do pacto social. Status em qualquer instância, falando-se ou não de ciência, é uma percepção societária.

Sobre status científico especificamente, os indivíduos relevantes para posicionar o status de um objeto A como científico ou não são os pesquisadores ou acadêmicos (não necessariamente pesquisadores) que de algum modo interagem com o objeto A, seja por meio de pesquisa, referência ou leitura/conhecimento do objeto.

A academia hoje é uma instituição bem estabelecida e não ambígua dentro da sociedade, formada exclusivamente por universidades e jornais de publicação aceitos pelas universidades. O status social da instituição academia perante ao restante da sociedade é o que dá o poder de julgamento e relevância aos seus participantes para determinar status como científico ou não. Pesquisadores fora da academia podem ganhar lugar de fala em uma discussão sobre o status científico ou não de um objeto A de acordo com a aceitação da sua pesquisa por parte da academia. Isso pode ser determinado mediante citações ou explícita evidência de relevância para os trabalhos sendo produzidos dentro da academia, ou mediante a passagem da pesquisa por meios padrões de publicação aos quais as pesquisas da academia também estão sujeitas (peer review e publicação em jornais acadêmicos, uma parte da instituição academia).",0.7,0.8,0.4,1.0,Feyerabend,Popper
54,19/06/2026 15:27:13,Estudante do IMPA Tech ou UFRJ,25 - 34 anos,Feminino,Ciência de Dados,0,1,1,2,1,1,0,2,1,1,0,2,1,-1,-1,1,,0.3,1.2,0.4,1.0,Popper,Feyerabend
55,19/06/2026 15:30:00,Professor,45 ou mais anos,Masculino,,2,2,1,1,1,1,0,1,2,1,0,2,0,-1,1,1,"A condição essencial é que possa ser verificado e, eventualmente, refutado.",1.0,1.2,0.6,0.5,Popper,Bacon
56,19/06/2026 15:39:04,Professor,35 - 44 anos,Masculino,,1,2,2,2,1,1,2,1,2,1,1,2,-1,-1,-1,1,"Algo que siga o método científico. Algo que seja verificavel, que possa ser medido e reproduzido. É importante também ser baseado em métodos estatísticos para se evitar vieses cognitivos como viés de confirmação.",1.3,1.8,1.0,0.5,Popper,Bacon
57,19/06/2026 15:42:26,Professor,35 - 44 anos,Masculino,,0,1,1,1,1,0,1,-1,2,2,0,2,1,-1,0,1,,0.7,1.4,0.4,0.2,Popper,Bacon
58,19/06/2026 15:56:31,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Masculino,Ainda no ciclo básico,1,2,1,1,2,-1,1,1,2,2,1,2,0,1,1,1,,1.3,1.6,0.8,0.8,Popper,Bacon
59,19/06/2026 16:27:47,Professor,45 ou mais anos,Masculino,,1,2,1,1,1,0,2,1,1,2,-1,2,-1,-1,1,1,,1.3,1.8,0.0,0.0,Popper,Bacon
60,19/06/2026 17:17:16,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Feminino,Física,1,2,2,2,2,2,2,1,-1,2,1,1,2,1,2,1,,1.7,1.8,1.0,1.2,Popper,Bacon
61,19/06/2026 18:26:40,Professor,45 ou mais anos,Masculino,,0,1,0,2,1,1,1,1,-1,2,0,1,1,-1,0,1,"Experimentos controlados e bem feitos estabelecem ""fenômenos científicos"". Muitas vezes eles podem ser replicados por outros grupos. Em outros raros casos, eles são aceitos mesmo sem replicação pois foram cuidadosamente estudados e são fenômenos raros e difíceis. Quando temos dados e uma teoria que ajustam os dados muito bem diria que temos uma ""compreensão científica"". Lembrando que uma teoria não é algo que só explica aqueles dados, em geral ela vai muito além, até mesmo de prever novos fenômenos.",0.7,1.4,-0.2,0.8,Popper,Feyerabend
62,19/06/2026 18:35:15,Professor,45 ou mais anos,Masculino,,1,1,2,1,1,1,1,-1,1,-1,1,1,0,-1,1,1,,1.0,0.6,0.8,0.2,Bacon,Kuhn
63,19/06/2026 18:43:17,Professor,45 ou mais anos,Masculino,,1,2,1,1,1,-1,1,1,1,1,1,2,1,1,-1,1,Possibilidade de refutação; reprodutibilidade; consistência lógica; compatibilidade com a realidade objetiva,1.0,1.4,0.6,1.0,Popper,Bacon
64,19/06/2026 18:47:54,Professor,45 ou mais anos,Feminino,,-1,-1,1,1,1,1,2,1,2,1,-1,1,-1,-1,1,1,"O uso de um método acordado entre pares, a possibilidade de replicabilidade, a contribuição para o desenvolvimento de uma rede de explicabilidade do fenômeno em análise. ",0.7,0.8,0.4,0.0,Popper,Bacon
65,19/06/2026 18:50:50,Professor,45 ou mais anos,Masculino,,2,2,1,1,1,2,-2,-2,2,2,0,2,0,0,0,-1,Falseabilidade e reprodutibilidade. ,0.3,1.0,1.0,-0.8,Popper,Kuhn
66,19/06/2026 19:01:45,Professor,35 - 44 anos,Masculino,,2,2,1,2,2,1,2,2,2,-1,0,2,2,-1,1,2,,2.0,1.4,0.6,1.5,Bacon,Feyerabend
67,19/06/2026 19:10:25,Professor,35 - 44 anos,Masculino,,2,1,0,2,1,2,0,2,1,1,-1,1,-1,1,-2,0,Presenca de matematica nisso,1.0,1.0,0.6,0.0,Bacon,Popper
68,19/06/2026 19:27:56,Professor,35 - 44 anos,Masculino,,1,1,1,2,2,1,0,-1,1,-2,1,1,-1,-1,1,1,,1.0,0.4,0.6,0.0,Bacon,Kuhn
69,19/06/2026 20:55:29,Professor,35 - 44 anos,Feminino,,1,1,1,2,1,0,0,0,2,1,0,1,0,-1,-1,1,,0.7,1.0,0.4,0.2,Popper,Bacon
70,19/06/2026 21:09:45,Professor,45 ou mais anos,Masculino,,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,,1.0,1.2,1.4,1.2,Kuhn,Popper
71,20/06/2026 09:44:27,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Masculino,Matemática,2,2,1,2,2,1,2,-1,1,2,1,1,2,1,1,1,,2.0,1.8,1.0,0.8,Bacon,Popper
72,20/06/2026 14:21:27,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Masculino,Matemática,1,2,1,2,2,2,-1,-1,2,0,-2,2,1,-2,1,2,,0.7,1.0,0.2,0.0,Popper,Bacon
73,22/06/2026 17:49:58,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Outros,Ainda no ciclo básico,2,2,1,1,1,-1,2,-2,2,0,0,-1,2,-1,0,0,"A descrição de algo ser ""científico"" depende da sociedade. E como toda pesquisa que passa pelo social pode ser influenciada pelo meio ao redor, não é livre de influências. Para mim eu não chamo nada de científico, pois só posso confiar plenamente no que sei, e ciência são em geral artes de saberes, logo pela minha definição pessoal chamaria tudo da vida de científico.",1.7,0.8,0.2,0.0,Bacon,Popper
74,23/06/2026 09:09:04,Funcionário / Técnico-administrativo,45 ou mais anos,Masculino,,2,1,1,-1,1,-1,-1,1,1,1,0,1,1,-1,1,1,,0.7,0.2,0.0,0.8,Feyerabend,Bacon
75,23/06/2026 09:20:12,Funcionário / Técnico-administrativo,45 ou mais anos,Feminino,,1,1,0,1,1,-1,-1,1,-1,-1,-1,1,1,-1,1,1,,0.3,0.2,-0.8,0.5,Feyerabend,Bacon
76,23/06/2026 09:26:04,Funcionário / Técnico-administrativo,25 - 34 anos,Masculino,,2,1,2,1,2,1,1,1,2,2,1,1,1,1,2,1,,1.7,1.2,1.4,1.0,Bacon,Kuhn
77,23/06/2026 09:32:22,Funcionário / Técnico-administrativo,25 - 34 anos,Feminino,,2,2,1,1,1,1,-1,1,2,-1,1,1,0,1,-1,1,,0.7,0.4,1.2,0.8,Kuhn,Feyerabend
78,23/06/2026 09:38:26,Funcionário / Técnico-administrativo,25 - 34 anos,Feminino,,2,2,1,-1,2,0,1,1,2,-1,1,2,1,-1,1,1,,1.7,0.6,0.6,1.0,Bacon,Feyerabend
79,23/06/2026 09:40:51,Funcionário / Técnico-administrativo,45 ou mais anos,Feminino,,1,1,-1,0,1,-1,1,0,1,0,-2,1,0,-1,1,0,Curiosidade e investigação.,1.0,0.6,-0.8,-0.5,Bacon,Popper
80,23/06/2026 09:45:25,Funcionário / Técnico-administrativo,18 - 24 anos,Feminino,,2,2,2,1,2,1,-1,1,2,-2,2,0,1,1,1,2,,1.0,0.0,1.6,1.5,Kuhn,Feyerabend
81,23/06/2026 09:54:23,Funcionário / Técnico-administrativo,35 - 44 anos,Feminino,,2,2,1,2,2,0,0,-1,1,1,0,2,2,-1,1,2,,1.3,1.4,0.2,0.8,Popper,Bacon
82,23/06/2026 10:34:31,Funcionário / Técnico-administrativo,25 - 34 anos,Feminino,,1,2,1,2,2,1,-1,1,1,0,1,2,1,1,2,2,,0.7,1.0,1.0,1.2,Feyerabend,Popper
83,23/06/2026 10:34:45,Funcionário / Técnico-administrativo,25 - 34 anos,Feminino,,1,2,1,2,1,-1,-1,1,1,1,1,1,-1,-1,-1,2,,0.3,1.0,0.2,0.8,Popper,Feyerabend
84,23/06/2026 10:43:40,Professor,45 ou mais anos,Masculino,,1,2,1,1,1,1,0,1,1,1,1,1,0,1,1,1,Algo estudado com muito rigor e método científico. ,0.7,1.0,1.0,0.8,Popper,Kuhn
85,23/06/2026 10:56:30,Funcionário / Técnico-administrativo,35 - 44 anos,Feminino,,2,2,1,2,2,0,0,2,2,2,1,2,0,0,0,2,,1.3,1.6,0.8,1.2,Popper,Bacon
86,23/06/2026 11:14:19,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Masculino,Matemática,1,1,1,1,1,0,0,1,1,1,0,2,2,0,1,1,"Um conhecimento sobre o mundo natural é científico se os métodos empregados para sua obtenção podem ser validados por meio de:

a) Teoria estatística fundamentada em probabilidade matemática.
b) Não ferem princípios lógicos e toda lógica foi empregada devidamente.
c) Sao confiáveis. Mais precisamente, se podem ser replicados, então podem ser confirmados ou falseados. Se não podem ser ser replicados, então a confiança em seus resultados depende de quão rigorosos, controlados e compatíveis com o restante do conhecimento científico são os métodos empregados.",0.7,1.0,0.4,1.0,Popper,Feyerabend
87,23/06/2026 13:12:37,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Feminino,Ainda no ciclo básico,1,1,1,2,1,0,0,-1,2,-1,0,1,1,-1,1,1,,0.7,0.6,0.4,0.2,Bacon,Popper
88,23/06/2026 13:32:08,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Masculino,Ainda no ciclo básico,2,0,2,2,2,1,1,1,1,2,0,1,1,0,1,2,,1.7,1.2,0.8,1.0,Bacon,Popper
89,23/06/2026 13:33:44,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Masculino,Ainda no ciclo básico,2,2,1,1,2,2,-2,0,1,2,1,1,1,2,1,2,Estudo através de observações e a tentativa de explicar de fenômenos e a realidade como um todo.,0.7,0.8,1.4,1.0,Kuhn,Feyerabend
90,23/06/2026 13:36:05,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Masculino,Ainda no ciclo básico,2,2,1,2,1,1,-1,1,2,0,1,1,1,0,1,2,,0.7,0.8,1.0,1.2,Feyerabend,Kuhn
91,23/06/2026 17:03:24,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Masculino,Ainda no ciclo básico,1,2,2,1,2,1,0,0,2,2,2,2,-1,0,2,0,,1.0,1.4,1.4,0.2,Popper,Kuhn
92,24/06/2026 12:03:26,Funcionário / Técnico-administrativo,25 - 34 anos,Feminino,,1,2,1,2,1,1,0,0,1,0,1,2,2,0,1,2,"Do ponto de vista técnico, tudo aquilo que é observado, analisado e testado seguindo o rigor metodológico necessário é científico. No entanto, é importante lembrar que o que entendemos hoje por ""ciência"" não está deslocado do tempo e do espaço. Isso significa que o nosso entendimento sobre o fazer científico tem raízes históricas e políticas — e essa trajetória esteve e está localizada e baseada majoritariamente na Europa, sendo produzida por um setor específico da sociedade. Ainda que se respeite o atual consenso ao redor da metodologia científica, há de se valorizar outras formas de conhecimento que não necessariamente se moldam a esse modo específico de produção (como, por exemplo, os saberes dos povos originários, que são riquíssimos e têm muito a nos ensinar sobre a natureza e a vida).",0.7,1.2,0.8,1.2,Popper,Feyerabend
93,25/06/2026 09:04:03,Funcionário / Técnico-administrativo,25 - 34 anos,Feminino,,-1,2,2,1,1,1,2,0,1,2,2,2,1,1,2,2,"O que torna algo científico não é uma suposta ""neutralidade"" ou a apresentação de números ou dados, mas sim o compromisso e a honestidade com o que se pesquisa e o caminho que se percorre até encontrar um resultado, ou a falta dele. Penso que, para trazer legitimidade a um conhecimento científico, é importante a transparência com seus métodos e o debate franco e democrático com quem o está elaborando.
Acredito que a ciência não pode ser uma ferramenta fria que ignora fatores que a atravessam, como pontos sociais e econômicos, por exemplo, mas precisa ser um processo plural e aberto para possíveis mudanças de perspectivas que possam aparecer ao longo da investigação.",0.7,1.8,1.4,1.2,Popper,Kuhn
94,25/06/2026 11:32:14,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Masculino,Matemática,0,-1,1,1,1,1,1,2,-1,0,-1,1,2,-1,0,2,,0.7,0.4,-0.2,1.2,Feyerabend,Bacon
95,25/06/2026 12:40:51,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Masculino,Física,1,1,2,1,1,1,2,1,-1,2,1,2,1,-2,2,2,,1.3,1.6,0.2,1.2,Popper,Bacon
